Activation,Layers,Learning_rate,Accuracy,Sensitivity,Specificity
relu (25, 25) 0.01 0.8201851704046611 0.8155377302436125 0.8248663101604278
relu (10, 10) 0.01 0.8124460141360932 0.8192810457516341 0.8057338086749851
relu (25, 25) 0.001 0.8335235586772023 0.8303030303030304 0.836779560308972
relu (10, 10) 0.001 0.7990262590789369 0.7826500297088533 0.8157754010695187
relu (10, 10) 0.0001 0.7983429554544568 0.7913547237076649 0.8055852644087939
relu (25, 25) 0.0001 0.8209423027465169 0.8154188948306595 0.826678550207962
relu (50, 50) 0.01 0.8185505183529767 0.8342245989304814 0.8025549613784908
relu (10, 10) 1e-05 0.7493337678807389 0.8101901366607249 0.6882055852644089
relu (25, 25) 1e-05 0.7788240171690567 0.785531788472965 0.7725490196078432
relu (100, 100) 0.01 0.8265113824815317 0.8459001782531194 0.8068627450980391
relu (75, 75) 0.01 0.8180461329715061 0.8270944741532977 0.8087641117052883
relu (50, 50) 0.001 0.8225982387527604 0.8343137254901961 0.8106951871657754
relu (75, 75) 0.001 0.8255983895141051 0.8153297682709447 0.8358288770053477
relu (100, 100) 0.001 0.829520401557276 0.8469102792632204 0.8118241235888295
relu (100, 100) 0.0001 0.8229915484963773 0.8311051693404634 0.8148247177658944
relu (50, 50) 0.0001 0.8245893970433039 0.82825311942959 0.8207664884135472
relu (100, 100) 1e-05 0.8060597192291662 0.8281639928698752 0.7838383838383839
relu (50, 50) 1e-05 0.8120141272248383 0.8012477718360071 0.8229649435531788
relu (75, 75) 0.0001 0.8335302099130019 0.8233511586452763 0.8437908496732026
relu (75, 75) 1e-05 0.8069642872979133 0.8054367201426026 0.8087938205585266

relu (50, 10) 0.01 0.8119478365747024 0.7694890077243018 0.8549019607843137
relu (50, 10) 0.001 0.8114951091246088 0.8285204991087344 0.7947415329768271
relu (50, 10) 1e-05 0.7729487588793998 0.8767082590612003 0.6684491978609626
relu (50, 10) 0.0001 0.8078998944670587 0.8790849673202614 0.7363042186571599
relu (100, 20) 0.01 0.8174359929408217 0.8315508021390374 0.8028817587641117
relu (250, 50) 0.01 0.8159804808400067 0.860546642899584 0.7709150326797385
relu (100, 20) 0.001 0.8244399659456727 0.8400178253119429 0.8085264408793821
relu (250, 50) 0.001 0.8238750543184258 0.8462566844919787 0.8014260249554367
relu (150, 30) 0.001 0.8248853770363866 0.8191919191919191 0.830600118835413
relu (200, 40) 0.01 0.8129433048660442 0.8476827094474153 0.7774806892453952
relu (150, 30) 0.01 0.8209192451290783 0.8332739156268568 0.8087641117052882
relu (300, 60) 0.01 0.8190336197798884 0.8221628045157457 0.8157754010695187
relu (200, 40) 0.001 0.8255179095609297 0.8333927510398099 0.8177658942364826
relu (300, 60) 0.001 0.8209870877342342 0.8424539512774808 0.7998514557338087
relu (150, 30) 0.0001 0.8314066920300459 0.83407605466429 0.8287581699346406
relu (100, 20) 0.0001 0.827960908470127 0.8391265597147949 0.8167260843731432
relu (250, 50) 0.0001 0.8379938542581211 0.844058229352347 0.8317884729649435
relu (200, 40) 0.0001 0.8279903956155054 0.8322043969102791 0.8237967914438502
relu (100, 20) 1e-05 0.7968734757584626 0.8231134878193701 0.7704396910279264
relu (200, 40) 1e-05 0.8324163496244267 0.8520796197266787 0.8126262626262627
relu (300, 60) 0.0001 0.8279680031216466 0.8280154486036838 0.8277777777777778
relu (150, 30) 1e-05 0.8239120795310435 0.8352049910873439 0.8126559714795009
relu (250, 50) 1e-05 0.8179414868615923 0.8302436125965537 0.8057338086749851
relu (300, 60) 1e-05 0.8080269330708312 0.8222519310754605 0.7937314319667261
